,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Theme,Demographic,Genre,Demographics
144,,G-九,G-9,,['OVA'],1,Finished Airing,"Sep 27, 2006",,,['Gentosha Comics'],"None found,",['Toei Animation'],Unknown,,,17 min.,PG-13 - Teens 13 or older,5.69,#11425,#10425,"3,112",1,1517,"An unclothed woman wakes up in an unfamiliar and seemingly lifeless town, with no recollection of either her name or memories. Suddenly, words mysteriously appear on her hands and reveal her name: Agarta, the ""Devourer of Dragons."" Puzzled, Agarta explores her surroundings in hopes of discovering the truth. Along the way, Agarta encounters a grotesque creature, which constantly chases her. When she is about to lose all hope, Agarta hears a strangely familiar voice telling her not to flee. For Agarta to put an end to her misery, she must gather up the courage to confront the monster, as it might lead her to the missing piece of this enigma. [Written by MAL Rewrite]",[],G-9,,,,,['Fantasy'],
145,,医辱,Medical Humiliation,,['OVA'],2,Finished Airing,"Jul 14, 2006 to Nov 10, 2006",,,['Digital Works'],['Media Blasters'],['Y.O.U.C'],Visual novel,,,27 min. per ep.,Rx - Hentai,5.64,N/A,#10789,"2,803",6,880,"Ryuki has made a full recovery, and now it's finally time to check out of the hospital; however, he's desperate not to leave! The head nurse, Rumi, has a penchant for tying down the other nurses and torturing them while masturbating. Nurse Nozomi needs to have sex constantly, with anyone or anything. Nurses Sarina and Rinka have even stranger desires. Ryuki's not going anywhere until he's gone through the whole nursing staff, and the hospital director Himiko, too!",[],Ijoku,,,,,['Hentai'],
146,The Dancing Girl,舞姫,,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Other,"['Drama', 'Romance']","['Historical', 'Performing Arts']",30 min.,R+ - Mild Nudity,6.65,#6204,#11499,"2,264",2,545,"A lonely exchange student meets and falls in passionate love with a dancer. A girl who falls into madness when she learns her lover is going home to make his life. The wanderings of youth on the stage of 19th century Berlin. The legendary novel of Meiji writer Mori Ogai, ""Maihime (dancing girl),"" adapted by Ga-nime ""School Girl"" producer Oku Shutaro who shows us his illustration talent and appoints Ms FURUYA Akisa for the booklets, slide shows, and animation of this Ga-nime. Over the background of a foreign country, we discover all the pathetic, poetic feelings of this elegant story as the wind of fresh artistic images brings it to life. (Source: Toei-Anim.co.jp)",[],Maihime,,,,,,
147,,女生徒,School Girl,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Novel,"['Drama', 'Slice of Life']",,24 min.,PG-13 - Teens 13 or older,5.36,#12542,#11764,"2,091",5,598,"A sunny summer's day, the trembling insides of a girl are painted by Dazai Osamu's hidden masterpiece, ""School Girl,"" a ""Kaku Nime"" production. Dazai's new literature taste is that of a person's challenge. The format of a girl talking to herself is presented by Motosaku, a Dazai Osamu fan as well; a girls of the modern day's heart also will resound as the finishing touches are applied to this work. (Source: AnimeNfo.com)",[],Joseito,,,['School'],,,
148,,Highway Jenny,,,['OVA'],1,Finished Airing,"Sep 27, 2006",,,"None found,","None found,",['Toei Animation'],Original,,,28 min.,PG-13 - Teens 13 or older,5.11,#13087,#12502,"1,655",1,633,"Various places in the world, trouble is awakening the terror inside every person's view of life, the distant future of overhead airspace is shown in ""Highway Jenny."" It compares existence with one's lifetime and afterlife, it contemplates the purity and death of future generations, and to the person who looks at the importance of the choices in their own life, it will be appealing. (Source: AnimeNfo)",[],Highway Jenny,,,,,['Fantasy'],
149,Nekomachi,猫町,Cat City,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Video'],Unknown,"['Fantasy', 'Horror']",,42 min.,PG-13 - Teens 13 or older,6.24,#8618,#12541,"1,633",3,245,"A fantasy world with only cats as far as the eye can see. The awe and fear a person can feel in a world that doesn’t know mankind, the world of Cat City invented by HAGIWARA Sakutaro, is depicted with sense by the art of KANAIDA Etsuko. The commercial editor URAHAMA Shojiro edits the story narrated by the musician and poet MACHIDA Kou with a taste of fantastic for this new Ga-nime. (Source: Toei-anim.co.jp)",[],Neko Machi,,,,,,
150,,新 鬼武者 DAWN OF DREAMS THE STORY,Onimusha: Dawn of Dreams,Onimusha: Dawn of Dreams,['OVA'],1,Finished Airing,"Jul 26, 2006",,,['Capcom'],['Media Blasters'],"None found,",Game,,"['Historical', 'Martial Arts', 'Mythology', 'Samurai']",2 hr.,PG-13 - Teens 13 or older,5.84,#10701,#12543,"1,629",2,512,"Set fifteen years after the fall of Oda Nobunaga. After the fall of this evil warlord, in the late sixteenth century, it appears as though evil times are ahead as his successor, Hideyoshi Toyotomi, has decided to call upon the Genma forces and once again place Japan under their demonic shadow. A strong warrior Soki who possesses the dark power of the Oni. Having learned about Hideyoshi's insidious scheme, he sets out on a journey to burn the Genma trees and defeat the Genma running rampant across the land. Shin Onimusha: Dawn of Dreams the Story is a compilation of cut-scenes from the game by the same title. It has been released on DVD separately from the game.",[],Shin Onimusha: Dawn of Dreams the Story,Onimusha: Dawn of Dreams,Onimusha: Dawn of Dreams,,,['Action'],
151,Pinky:st,ピンキーストリート,,,['OVA'],2,Finished Airing,"Jul 26, 2006",,,['Gonzo'],"None found,","None found,",Other,"['Comedy', 'Slice of Life']",,12 min. per ep.,G - All Ages,4.61,#13585,#12774,"1,509",0,631,"Forget the fashion police or a therapist – the Pinky Street action figure Saki is here to save the day! Mei is a tomboyish girl who would love to spend more time on fashion like her favorite Pinky Street figure, if she wasn’t busy being hassled by her male classmates; Keiichirou is an otaku who collects Pinky Street figures, and who has just been in a fight with a good friend. Both are taken in their sleep to the fabulous Pinky Town, where they are taken to a clothing store, toy store, and have a bite to eat with Saki herself! What other insights await our heroes? (Source: Anime-Planet)",[],Pinky Street,,,,,,
152,,現代畸聞録　怪異物語,Strange Tales of Modern Mysterious Events,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Unknown,,,46 min.,None,6.16,#9063,#12795,"1,502",1,183,"The horrid stories that remain in many conversations, the chilling urban legends come to life thanks to the Ga-nime. The terrible anecdote of an old fridge thrown by a dried up river bed in “Refrigerator”. The grotesque encounter with an out of place sculpture standing on top of a building in “The Dharma Statue”. The ghost encounter experience by a boy on a long bridge at night in “The Night Bridge” A purchase at the flea market that brings a man to an ironic end in “US Army Surplus” The enigma of continuous deadly accidents near a railroad in “The Railroad Crossing” The mysterious experience of a boy on summer vacation in a peaceful countryside in “I Want Friends”. 6 pieces of horror put on 1 film. The Japanese urban legends, put on screen in the characteristic drawing of KIMURA Toshiyuki, whose fame reaches outside the borders of Japan, call for a scream, with the talented collaboration for the ending theme of an artist produced by SUDOH Akira, Leilani. (Source: Toei-anim.co.jp)",[],Gendai Kibunroku Kaii Monogatari,,,,,['Horror'],
153,La Grenadière,ざくろ屋敷,,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Unknown,,"['Historical', 'Visual Arts']",48 min.,None,5.92,#10336,#13450,"1,248",1,209,"The Japanese painter FUKAZAWA Takeshi expresses in pictures the novel written by Honoré de BALZAC “La grenadière”. Over 70 tempera paintings are beautifully brought to life and put together by FUKADA Koji for this Ga-nime that tells us the story of a mother and child in the 19th century, coated in a music that punctuates the whole experience. FUKAZAWA and FUKADA thus succeed in reproducing the ambiance of this mansion so dear to BALZAC, as the artistic pictures call to the imagination and the emotions of the viewer that only be so aroused by a Ga-nime. (Source: Toei)",[],Zakuro Yashiki,,La Grenadière,,,,
154,YOH Shomei Museum LINE,葉祥明美術館 LINE,Yoh Shomei Art Gallery Line,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Original,,,24 min.,G - All Ages,5.27,#12756,#14008,"1,074",1,379,"A simple world of sound and picture, composed by NAKAI Yuu from the paintings of major Japanese artist YOH Shomei and pure, simple sounds, comes out in Ga-nime. Great pictures that will make you feel the life of the earth, with the horizon stretching ever farther… Get inside a minimalist world modeled before your eyes, with the sounds of wind and rain, of air and thunder that stir emotions in every viewer’s heart, through a lyricism that resounds at the core of your mind. (Source: Toei-Anim.co.jp)",[],You Shoumei Bijutsukan Line,,,,,['Fantasy'],
155,"Fushigiboshi no☆Futagohime Gyu! Special: Gururi☆Fushigiboshi Meguri, The Twin Princesses of the Mysterious Star Gyu!: A Tour of the Mysterious Star",ふしぎ星の☆ふたご姫 Gyu!スペシャル ぐるり☆ふしぎ星めぐり,,,['OVA'],1,Finished Airing,"Aug 25, 2006",,,"['HAL Film Maker', 'Nihon Ad Systems']","None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,26 min.,G - All Ages,6.47,#7263,#14641,909,2,213,Rein and Fine receive a care package from their mother and father which contains a device to show past memories and events.,[],Fushigiboshi no☆Futagohime Gyu! Recap,,,['Mahou Shoujo'],,,
156,"Anpanman to Hajimeyou! Iro, Kazu, Katachi - Wakaru ka na Iro, Katachi",アンパンマンとはじめよう! いろ・かず・かたち わかるかな いろ・かたち,,,['OVA'],1,Finished Airing,"Jul 26, 2006",,,['VAP'],"None found,",['TMS Entertainment'],Unknown,,,25 min.,PG - Children,6.23,#8665,#16169,603,0,179,"Part of the ""Let's start with Anpanman"" series of educational animation for kindergarten children featuring characters from Anpanman.",[],"Anpanman to Hajimeyou! Iro, Kazu, Katachi Wakaru ka na Iro, Katachi",,,['Educational'],['Kids'],,
157,Tsuyu no Hito Shizuku: Ueda Shouji no Shashin Sekai wo Samayou,つゆのひとしずく～「植田正治」の写真世界を彷徨う～,A Drop of Dew: Shouji Ueda's Photographs that Woke the World,,['OVA'],1,Finished Airing,"Aug 1, 2006",,,"None found,","None found,",['Toei Animation'],Unknown,,,36 min.,None,[],#15035,#16836,523,0,,"Working since before WW2, UEDA Shoji pierced through amateurism, Then, in his picture world he takes, cuts and rearranges photos through his own sensibility, which takes him to the new media that is Ga-nime, encouraged by his friend the actor SANO Shiro, born in the same prefecture. The pictures used for this exhibition are not only from his most famous “Dune Mode” series, but also of many pre/post-war pictures of his birthplace, streetcars running in Tokyo, and traditional scene of Japan, through which a whole culture appears. (Source: Toei-anim.co.jp)",[],Tsuyu no Hito Shizuku,,,['Historical'],,,
158,Ayu Mayu Theater Prologue,あゆまゆ劇場 プロローグ,,,['OVA'],1,Finished Airing,"Aug 11, 2006",,,"None found,","None found,",['Picture Magic'],Visual novel,,,3 min.,PG-13 - Teens 13 or older,5.63,#11687,#17549,456,0,142,Prologue episode of Kimi ga Nozomu Eien: Ayu Mayu Gekijou included on the PC age CD-ROM2 Vol.05.,"['Sequel (ONA) Kimi ga Nozomu Eien: Ayu Mayu Gekijou', '']",Kimi ga Nozomu Eien: Ayu Mayu Gekijou Prologue,,,,,['Comedy'],
159,,たまごにいちゃん,,,['OVA'],3,Finished Airing,"Sep 22, 2006",,,"None found,","None found,","None found,",Picture book,,,8 min. per ep.,G - All Ages,[],#14729,#23627,120,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tamago Niichan,,,,['Kids'],['Comedy'],
160,,まめうしくん,,,['OVA'],3,Finished Airing,"Aug 25, 2006",,,"None found,","None found,","None found,",Picture book,"['Comedy', 'Fantasy']",,8 min. per ep.,G - All Ages,[],#19997,#24872,97,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mameushi-kun,,,,['Kids'],,
161,"Toki wo Kakeru Shojo, TokiKake, Toki o Kakeru Shojo, The Girl Who Cut Time, The Little Girl Who Conquered Time",時をかける少女,The Girl Who Leapt Through Time,La Chica que Saltaba a través del Tiempo,['Movie'],1,Finished Airing,"Jul 15, 2006",,,"['Kadokawa Shoten', 'Bandai', 'Memory-Tech', 'Happinet Pictures']","['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']",['Madhouse'],Novel,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']","['School', 'Time Travel']",1 hr. 38 min.,G - All Ages,8.09,#531,#252,"812,618","6,028",465170,"Makoto Konno is in her last year of high school, but is having a hard time deciding what to do with her future. In between enduring the pressure of her teachers and killing time with her best friends, Makoto's life suddenly changes when she accidentally discovers that she is capable of literally leaping through time. Toki wo Kakeru Shoujo follows Makoto as she plays around with her newfound power. However, she soon learns the hard way that every choice has a consequence, and time is a lot more complicated than it may seem. [Written by MAL Rewrite]","['Adaptation (Manga) Toki wo Kakeru Shoujo', 'Adaptation (Manga) Toki wo Kakeru Shoujo: Tokikake']",Toki wo Kakeru Shoujo,"Das Mädchen, das durch die Zeit sprang",La Traversée du Temps,,,,
162,"Naruto Movie Volume 3, Naruto: Gekijouban Naruto: Dai Koufun! Mikazuki-jima no Animal Panic Datte ba yo!",劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,,['Movie'],1,Finished Airing,"Aug 5, 2006",,,"None found,",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 34 min.,PG-13 - Teens 13 or older,6.92,#4748,#1189,"218,525",169,127070,"Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two return from a long trip around the world. As if guarding two whimsical high-ranked individuals was not challenging enough, the prince's reckless decision to acquire an entire circus during their journey—mainly to entertain Hikaru's wish of owning the saber-toothed tiger featured in the show—further propels the mission into disarray. Just as things are finally settling down, the arrival of Michiru's convoy at the Land of Moon is met with an unforeseen crisis—the greedy Chief Minister Shabadaba has taken over the country with the assistance of mysterious, powerful ninjas. While Kakashi's team relentlessly fights the enemy by any means necessary, the two princes are forced to confront a new outlook on life through adversity. [Written by MAL Rewrite]","['Adaptation (Light Novel) Gekijouban Naruto: Dai Koufun! Mikazuki-jima no Animal Panic Datteba yo', '']",Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panic Dattebayo!,Naruto The Movie 3: Die Hüter des Sichelmondreichs,Naruto Le Film 3: Mission Spéciale au Pays de la Lune,,['Shounen'],,
163,"Gedo Senki, Tales of Ged, Ged's War Chronicles",ゲド戦記,Tales from Earthsea,Cuentos de Terramar,['Movie'],1,Finished Airing,"Jul 29, 2006",,,"['TOHO', 'Fonishia']",['Disney Platform Distribution'],['Studio Ghibli'],Novel,"['Adventure', 'Fantasy']",,1 hr. 55 min.,PG-13 - Teens 13 or older,6.80,#5334,#1611,"154,501",293,92735,"Calamities are plaguing the land of Earthsea and dragons have been seen fighting above the clouds—something which has never happened before. Sparrowhawk, a powerful Archmage, sets out to uncover the mystery behind these concerning events and meets Prince Arren along the way. Arren is the fugitive heir to the Kingdom of Enlad and a seemingly quiet and distressed lad. Wandering aimlessly in an attempt to escape the dark presence haunting him, he decides to tag along Sparrowhawk on his journey. However, their arrival in the seaside settlement of Hort Town is met with unexpected trouble—Lord Cob, a powerful evil wizard obsessed with eternal life, stands in their way. Forced to confront him, the pair joins forces with Tenar—an old friend of Sparrowhawk—and Therru, the ill-fated orphan girl she took in. But the enemy's cunning hobby of manipulating emotions may just prove to be catastrophic for the young prince. Set in a magical world, Ged Senki goes beyond the classical battle between the forces of good and evil, as it explores the inner battles of the heart. [Written by MAL Rewrite]",[],Ged Senki,Die Chroniken von Erdsee,Les Contes de Terremer,,,,
164,"Gekijouban Pocket Monsters Advanced Generation: The Pokemon Ranger and Prince of the Sea: Manaphy, Pokemon 2006, Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy",ポケットモンスターアドバンスジェネレーション ポケモンレンジャーと蒼海の王子 マナフィ,Pokémon Ranger and the Temple of the Sea,Pokémon Película 9: Ranger y el Templo del Mar,['Movie'],1,Finished Airing,"Jul 15, 2006",,,['Shogakukan Productions'],"['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Drama', 'Fantasy']",,1 hr. 45 min.,PG - Children,6.79,#5375,#2351,"91,405",46,54797,"Satoshi and his friends get lost in an unknown wasteland. They eventually come across a ""Water Pokemon Show"" performed by the star of the Mariner Troupe, Hiromi. Hiromi is a descendant of the troupe of Water People able to communicate with water pokemon, and she tells our heroes the legend that's been passed down by her people for generations. According to legend, a temple the Water People built called ""The Water Temple Akuusha"" rests somewhere in the ocean, and a treasure called ""The Water Crown"" is hidden there. It's said that no one has ever seen this treasure, but that changes when a Pokemon Ranger named Jack Walker (aka Jackie) appears to chase aftert it. Jackie is on a top secret mission that has him protecting the egg of the leader of the water pokemon, Manaphy. This pokemon, called the ""Prince of the Sea,"" needs to be taken to the Water Temple Akuusha, so Satoshi-tachi and Hiromi decide to help him. Along the way, a pirate named Phantom attacks our heroes from his great submarine. Phantom plans to use the Water Crown's power to help him conquer the world, but he'll have to solve the mystery of Manaphy's egg first. When the Rocket-Dan get into the mix, Jackie uses his Capture Styler to borrow the power of a nearby pokemon to stand up to them. Satoshi and Pikachu enter the fray, but they still have to contend with the attacks of Phantom's powerful high tech mecha! Suddenly, the egg starts to shine with a vivid light, and Manpahy is born! What is the mystery of the legendary treasure? What mysterious powers does Manaphy have? Can Satoshi-tachi and Jackie complete their top secret mission? The journey to reach the Water Temple Akuusha has begun!","['Adaptation (Manga) Pokemon Ranger to Umi no Ouji Manaphy', '']",Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy,Pokémon Film 9: Ranger und der Tempel des Meeres,Pokémon Film 9: Ranger et le Temple des Mers,,['Kids'],,
165,,ブレイブ・ストーリー,Brave Story,,['Movie'],1,Finished Airing,"Jul 8, 2006",,,"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Warner Bros. Japan']","None found,",['Gonzo'],Novel,"['Action', 'Adventure', 'Fantasy']",,1 hr. 52 min.,G - All Ages,7.40,#2357,#3485,"45,986",190,20865,"When 11-year-old Wataru's father leaves home and his mother is taken ill to the hospital, he decides to change his fate by traveling through the door shown to him by his friend Mitsuru. In a land of magic and monsters, Wataru must summon all his courage and embark on a journey with several comrades to meet the Goddess of Destiny and change this ""mistaken fate."" (Source: ANN)","['Adaptation (Novel) Brave Story', 'Adaptation (Manga) Brave Story: Shinsetsu']",Brave Story,Brave Story: Ein Abenteuer jenseits der Realität,,['Isekai'],,,
166,Digimon Savers 3D: A Close Call for the Digital World,デジモンセイバーズ3D デジタルワールド危機イッパツ！,,,['Movie'],1,Finished Airing,"Jul 8, 2006",,,"None found,","None found,",['Toei Animation'],Original,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",,7 min.,PG - Children,6.01,#9883,#7898,"6,807",2,2494,"The Digimon travel through the digital word and discover a Digimon eating away the Digital World, thus they resolve to save it.",[],Digimon Savers 3D: Digital World Kiki Ippatsu!,,,,['Kids'],,
167,"Gekijouban Haruka Naru Toki no Naka de: Maihitoyo, Gekijo Ban Harukanaru Toki no Nakade -Mai Hitoyo-, GekijouBan Harukanaru Toki no Naka de: MaiHitoyo, Beyond the Stream of Time: A Dance in the Moonlight",劇場版 遙かなる時空（とき）の中で 舞一夜（まいひとよ）,,,['Movie'],1,Finished Airing,"Aug 19, 2006",,,"None found,","None found,",['Yumeta Company'],Visual novel,"['Drama', 'Fantasy', 'Romance', 'Supernatural']","['Historical', 'Isekai', 'Time Travel']",1 hr. 40 min.,PG-13 - Teens 13 or older,7.12,#3828,#8188,"6,225",16,1944,"One rainy day, Akane crosses path with a kind young man who tacitly offers to her his coat. On their second encounter, he confesses that he has no recollection of who he is, his name or his past, but feels contented by just being with her. Besotted, Akane sets out to find his name, and to unravel his enigmatic connection with a famous cursed dance rumoured to kill anyone who attempts to perform it. (Source: ANN)",[],Harukanaru Toki no Naka de: Maihitoyo,,,,['Shoujo'],,
168,Night of Taneyamagahara,種山ヶ原の夜,The Night of Taneyamagahara,,['Movie'],1,Finished Airing,"Jul 7, 2006",,,"None found,","None found,",['Studio Ghibli'],Other,"['Fantasy', 'Slice of Life']",,27 min.,PG - Children,5.49,#12158,#8212,"6,159",4,1786,Four workers wait out the night around a campfire. Three of them are talking about different things when they start hearing strange noises. Their discussion wakes up a sleeping companion who promptly goes back to sleep only to start having dreams...,[],Taneyamagahara no Yoru,,,['Psychological'],['Kids'],,
169,,名探偵コナン コナンvsキッド 漆黒の狙撃者(スナイパー),Detective Conan: Conan vs. Kid - Jet Black Sniper,,['Movie'],1,Finished Airing,"Jul 28, 2006",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Comedy', 'Mystery']",,16 min.,PG - Children,7.24,#3138,#8646,"5,468",1,1379,"3D IMAX movie, shown only at the Suntory Museum in Osaka. The story involves a heist taking place on 15 Aug at the Takaramachi Jewelry Museum where a jewel worth 1 Billion Yen is stolen.",[],Meitantei Conan: Conan vs. Kid - Shikkoku no Sniper,,,['Detective'],['Shounen'],,
170,Pokemon Diamond & Pearl Get Together! Pokémon Planet Center,ポケットモンスターダイヤモンドパール・あつまれ！ポケモンプラネットセンター,,,['Movie'],1,Finished Airing,"Jul 2, 2006",,,"None found,","None found,","None found,",Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,26 min.,PG - Children,6.61,#6432,#11252,"2,439",1,710,"Hey everyone! I'm Satoshi! Have you ever looked up at the night sky and gazed at the stars floating up there? Just like with Pokemon, the star-studded sky has lots and lots of mysteries! The Pokemon Planet Center is a place where you can solve some of the mysteries of space together with Pikachu! So let's all get together at the Pokemon Planet Center! (Source: Dogasu's Backpack)",[],Pokemon Diamond & Pearl Atsumare! Pokemon Planet Center,,,,['Kids'],,
171,Happy Science Movie 4,永遠の法,The Laws of Eternity,,['Movie'],1,Finished Airing,"Sep 30, 2006",,,"None found,","None found,",['Group TAC'],Original,"['Fantasy', 'Sci-Fi']",,1 hr. 53 min.,G - All Ages,5.07,#13133,#12301,"1,756",4,583,"Ryuta and his friends from the science club visit a museum exhibit on Thomas Edison and it's there they learn about one of his proposed inventions called the ""spirit phone"" which would enable communication with the deceased. Later that day, they bump into a shaman who claims she has a message from Edison. In an instant Ryuta is given the necessary knowledge he needs to construct the device and decides to go for it, so beginning a spiritual adventure. (Source: ANN)",[],Eien no Hou,,,,,,
172,Dugaeui sam,지옥 두개 의 삶,The Hell (Two Kinds of Life),,['Movie'],1,Finished Airing,Jul 2006,,,['Studio Dadashow'],"None found,","None found,",Unknown,"['Drama', 'Fantasy', 'Horror']",,34 min.,R+ - Mild Nudity,5.76,#11109,#12917,"1,449",1,299,"Jae-young, an ordinary woman in her mid-20s is sentenced to death by an angel, and ascends to Heaven. Going to Heaven means nothing to her because she assumes Heaven is devoid of reason and humanity. But she accepts her fate and proceeds to bid farewell to her mother and friend. During her farewells, the desire for life starts to torture her. (Source: KoBiz)",[],Jiok,,,,,,
173,,それいけ! アンパンマン いのちの星のドーリィ,Anpanman: Star-Spirited Dollie,,['Movie'],1,Finished Airing,"Jul 15, 2006",,,"None found,","None found,",['TMS Entertainment'],Unknown,,,51 min.,PG - Children,6.11,#9298,#15303,740,1,228,"The annual Star Festival to honor the stars that bring life is drawing nearer. Anpanman finds an abandoned doll who is brought to life by a Star of Life. The doll, now named Dolly, spends all of her time having fun, convinced that enjoying oneself is the meaning of life. However, her Star of Life is starting to disappear, and Baikinman builds a huge robot inspired by memories of his own birth. (Source: ANN)",[],Sore Ike! Anpanman: Inochi no Hoshi no Dolly,,,,['Kids'],['Fantasy'],
174,,それいけ!アンパンマン コキンちゃんとあおいなみだ,,,['Movie'],1,Finished Airing,"Jul 15, 2006",,,['Tokyo Movie Shinsha'],"None found,","None found,",Unknown,"['Comedy', 'Fantasy']",,21 min.,PG - Children,[],#14534,#17942,425,0,,"Anpanman finds an odd little girl from outer space. The girl turns out to be Kokin-chan, Dokin-chan's younger sister who came to Earth to play. Moreover, Kokin-chan is a master of fake crying and exploits her skill to get out of the trouble she causes. And her tears have the special power to make anyone whose eyes are touched by them cry without reason. (Source: ANN)",[],Sore Ike! Anpanman: Kokin-chan to Aoi Namida,,,,['Kids'],,
175,"GitS SAC SSS, GitS: SAC 3, gits sac3, gitssac3, sac3, sss, Ghost in the Shell S.A.C. Solid State Society",攻殻機動隊 STAND ALONE COMPLEX Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,,['TV Special'],1,Finished Airing,"Sep 1, 2006",,,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Nippon Television Network', 'Fonishia']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",1 hr. 48 min.,R - 17+ (violence & profanity),8.10,#525,#2170,"103,575",253,48859,"A.D. 2034. It has been two years since Motoko Kusanagi left Section 9. Togusa is now the new leader of the team, that has considerably increased its appointed personnel. The expanded new Section 9 confronts a rash of complicated incidents, and investigations reveal that an ultra-wizard hacker named the Puppeteer is behind the entire series of events. In the midst of all, Batou, who was stalking the case on a separate track, encounters Motoko. She goes away after saying, ""Stay away from the Solid State Society."" Batou is left with a doubt in his mind. Could Motoko be the Puppeteer? The series of intriguing incidents that Section 9 faces gradually link together almost artistically. Who is the Puppeteer? What will happen to Batou's relationship with Motoko? What is the full truth behind this carefully planned perfect crime? And what will the outcome be? Mysteries surround the Solid State Society... (Source: Production I.G.)","['Prequel (TV) Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'Sequel (ONA) Koukaku Kidoutai: SAC_2045', 'Adaptation (Light Novel) Koukaku Kidoutai: Stand Alone Complex', '']",Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Ghost in the Shell-Stand Alone Complex: Solid State Society,Ghost in The Shell-Stand Alone Complex: Solid State Society,,['Seinen'],,
176,"Black Cat Episode 14.5, Black Cat: The Distant Cat, Black Cat: Tooza karu neko",ブラックキャット 第14.5話 遠ざかる猫,Black Cat Special,,['Special'],1,Finished Airing,"Jul 26, 2006",,,['GDH'],['Funimation'],['Gonzo'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,24 min.,PG-13 - Teens 13 or older,7.07,#4051,#4906,"22,326",25,9941,Black Cat DVD only episode.,[],Black Cat: Toozakaru Neko,Black Cat,,['Super Power'],['Shounen'],,
177,"Nana Episode 11.5, Episode 21.5, and Episode 36.5, Nana Specials",ナナ Specials,,,['TV Special'],3,Finished Airing,"Jun 21, 2006 to Jan 10, 2007",,,"['VAP', 'Nippon Television Network']","['VIZ Media', 'Sentai Filmworks']",['Madhouse'],['Manga'],"['Comedy', 'Drama', 'Romance']","['Adult Cast', 'Music']",22 min. per ep.,R - 17+ (violence & profanity),6.97,#4502,#5256,"18,917",19,9115,Nana Episode 11.5: Junko's Room Nana Episode 21.5: Junko's Room 2 Nana Episode 36.5: Junko's Room 3,[],Nana Recaps,,,,['Shoujo'],,
178,"The One Being Sung Specials, Utawarerumono Q&A, Utawarerumono Questions Answered, Utawarerumono: Naze Nani Utawarerumono, Utawarerumono Omake",うたわれるもの,,,['Special'],6,Finished Airing,"Aug 23, 2006 to Feb 21, 2007",,,['Lantis'],"None found,",['OLM'],Visual novel,"['Action', 'Comedy', 'Drama', 'Fantasy']",,11 min. per ep.,PG-13 - Teens 13 or older,7.54,#1810,#5577,"16,160",6,8171,DVD specials of comedic events that occurred during the story of Utawarerumono. The specials are included in the DVD Box special disc.,[],Utawarerumono Specials,,,,,,
